0161	0.541736	沖縄	嘉手納
0162	0.530007	山形	九里学園
0163	0.527686	石川	金沢
0164	0.523726	北海道	大谷室蘭
0165	0.521920	愛媛	今治西
0166	0.520513	長野	上田西
0167	0.515694	山形	羽黒
0168	0.512612	長野	小諸商
0169	0.504825	福岡	九産大九州
0170	0.504507	秋田	能代松陽
0171	0.501680	徳島	鳴門渦潮
0172	0.501045	鹿児島	れいめい
0173	0.500318	広島	尾道
0174	0.497539	山形	山形城北
0175	0.493963	千葉	専大松戸
0176	0.491945	新潟	北越
0177	0.487959	栃木	佐野日大
0178	0.487417	山口	高川学園
0179	0.485988	福島	日大東北
0180	0.484478	広島	崇徳
0181	0.480352	長野	東海大諏訪
0182	0.466993	長野	松商学園
0183	0.466328	福島	東日大昌平
0184	0.458491	東京	帝京
0185	0.451619	静岡	常葉大橘
0186	0.429787	鳥取	倉吉東
0187	0.422531	富山	富山第一
0188	0.421010	京都	京都翔英
0189	0.420502	東京	創価
0190	0.420455	高知	追手前
0191	0.415573	愛媛	新田
0192	0.408304	岩手	釜石
0193	0.406190	沖縄	美里工
0194	0.401170	佐賀	伊万里
0195	0.400782	北海道	函館工
0196	0.394456	静岡	常葉大菊川
0197	0.390567	山形	山形中央
0198	0.383295	静岡	藤枝明誠
0199	0.381233	新潟	中越
0200	0.380945	高知	中村
0201	0.373416	栃木	文星芸大付
0202	0.363033	愛知	栄徳
0203	0.361165	北海道	立命館慶祥
0204	0.360661	長崎	大村工
0205	0.354601	滋賀	北大津
0206	0.350280	鳥取	八頭
0207	0.348208	香川	小豆島中央
0208	0.347715	岐阜	多治見
0209	0.346742	福島	花咲徳栄
0210	0.345746	岐阜	麗澤瑞浪
0211	0.345219	群馬	関東学園大付
0212	0.345165	三重	海星
0213	0.344546	東京	八王子
0214	0.339969	徳島	池田
0215	0.337022	島根	石見智翠館
0216	0.331287	北海道	帯広大谷
0217	0.322826	岡山	倉敷商
0218	0.318146	北海道	遠軽
0219	0.312919	奈良	高田商
0220	0.312896	広島	盈進
0221	0.308358	長崎	波佐見
0222	0.307325	福島	学法石川
0223	0.305288	大分	大分商
0224	0.301961	佐賀	東明館
0225	0.298586	山梨	駿台甲府
0226	0.298557	福井	北陸
0227	0.298196	愛媛	松山東
0228	0.297342	静岡	聖隷
0229	0.297098	北海道	滝川西
0230	0.294062	兵庫	市尼崎
0231	0.290435	京都	東山
0232	0.286418	富山	富山国際大付
0233	0.281589	佐賀	唐津商
0234	0.281509	東京	東海大高輪台
0235	0.280760	鳥取	米子松蔭
0236	0.277457	岐阜	岐阜各務野
0237	0.271158	兵庫	西脇工
0238	0.268641	東京	日野
0239	0.265214	京都	京都成章
0240	0.258195	愛媛	西条
0241	0.256543	東京	桜美林
0242	0.252953	香川	尽誠学園
0243	0.249627	熊本	城北
0244	0.246503	栃木	青藍泰斗
0245	0.245484	島根	益田東
0246	0.242970	秋田	横手
0247	0.240217	新潟	関根学園
0248	0.240128	福岡	八幡
0249	0.239690	千葉	拓大紅陵
0250	0.236466	愛媛	宇和島東
0251	0.234754	東京	早大学院
0252	0.232311	福島	福島商
0253	0.231915	鳥取	境
0254	0.230348	茨城	石岡一
0255	0.227652	東京	日大豊山
0256	0.227611	宮崎	都城東
0257	0.225245	北海道	武修館
0258	0.223140	埼玉	春日部共栄
0259	0.220182	大阪	大阪偕星
0260	0.216622	群馬	樹徳
0261	0.216364	大阪	近大付
0262	0.214386	岐阜	帝京大可児
0263	0.213205	千葉	千葉敬愛
0264	0.212896	埼玉	市川越
0265	0.212839	宮崎	鵬翔
0266	0.212440	秋田	金足農
0267	0.211437	東京	岩倉
0268	0.206867	東京	修徳
0269	0.197596	岩手	不来方
0270	0.196615	島根	出雲
0271	0.195747	秋田	能代
0272	0.195188	兵庫	神港学園
0273	0.193583	兵庫	長田
0274	0.192417	山口	岩国
0275	0.191919	福井	福井商
0276	0.191146	福島	光南
0277	0.189148	東京	明大中野
0278	0.188235	奈良	奈良大付
0279	0.180195	徳島	富岡西
0280	0.178899	愛知	愛産大三河
0281	0.177301	山梨	市川
0282	0.174729	東京	堀越
0283	0.173812	北海道	士別翔雲
0284	0.172349	東京	小平
0285	0.172256	石川	遊学館
0286	0.171509	愛知	桜丘
0287	0.171231	静岡	日大三島
0288	0.169466	東京	雪谷
0289	0.169088	滋賀	比叡山
0290	0.168432	東京	明星
0291	0.165680	宮崎	宮崎日大
0292	0.165136	東京	錦城学園
0293	0.165129	東京	城東
0294	0.161112	岡山	岡山学芸館
0295	0.160009	東京	日大二
0296	0.159414	東京	立正大立正
0297	0.155799	東京	城西
0298	0.153392	佐賀	佐賀北
0299	0.152909	石川	金沢学院
0300	0.152208	徳島	生光学園
0301	0.151187	佐賀	龍谷
0302	0.147918	奈良	法隆寺国際
0303	0.147433	香川	坂出
0304	0.143353	北海道	富良野
0305	0.140754	新潟	新潟明訓
0306	0.140320	北海道	鵡川
0307	0.138160	三重	近代高専
0308	0.137807	長崎	長崎商
0309	0.137482	東京	昭和
0310	0.136209	和歌山	紀央館
0311	0.135787	北海道	札幌南
0312	0.135772	東京	東京実
0313	0.134438	青森	八戸西
0314	0.134115	東京	明大中野八王子
0315	0.132599	栃木	石橋
0316	0.132001	岩手	盛岡中央
0317	0.131216	山口	下関商
0318	0.130977	大阪	阪南大
0319	0.130461	北海道	旭川龍谷
0320	0.125838	徳島	徳島商
0321	0.122469	鹿児島	鹿屋中央
0322	0.120721	長崎	長崎南山
0323	0.116513	北海道	札幌清田
0324	0.115840	新潟	村上桜ヶ丘
0325	0.115003	静岡	東海大静岡翔洋
0326	0.112674	大阪	大商大堺
0327	0.112400	石川	小松
0328	0.111380	広島	如水館
0329	0.109680	兵庫	育英
0330	0.109147	北海道	苫小牧中央
0331	0.105549	愛知	享栄
0332	0.104942	富山	富山東
0333	0.103610	岐阜	岐阜城北
0334	0.103343	富山	滑川
0335	0.102694	北海道	釧路明輝
0336	0.100302	神奈川	日大
0337	0.097429	秋田	秋田
0338	0.096046	岡山	岡山理大付
0339	0.095758	愛知	豊橋工
0340	0.095176	滋賀	膳所
0341	0.093847	新潟	東京学館新潟
0342	0.093026	東京	駿台学園
0343	0.092565	東京	高島
0344	0.092123	東京	日大一
0345	0.091124	岡山	関西
0346	0.089901	長野	飯山
0347	0.089710	佐賀	早稲田佐賀
0348	0.089527	北海道	帯広農
0349	0.088882	福井	啓新
0350	0.088758	大阪	上宮太子
0351	0.087753	岡山	金光学園
0352	0.086744	島根	立正大淞南
0353	0.086052	福岡	筑陽学園
0354	0.085707	東京	共栄学園
0355	0.085152	岐阜	美濃加茂
0356	0.083953	徳島	城南
0357	0.083883	鳥取	鳥取西
0358	0.083130	長崎	鹿町工
0359	0.082260	和歌山	有田中央
0360	0.080006	北海道	旭川東
0361	0.079420	山口	下関西
0362	0.079220	滋賀	光泉
0363	0.078050	高知	高知商
0364	0.077739	山口	宇部商
0365	0.077264	岩手	大船渡東
0366	0.077081	滋賀	近江兄弟社
0367	0.074133	熊本	鎮西
0368	0.071035	群馬	前橋工
0369	0.070942	大分	杵築
0370	0.069114	香川	寒川
0371	0.068861	北海道	旭川西
0372	0.068534	北海道	ラ・サール
0373	0.067520	北海道	札幌山の手
0374	0.067293	東京	成立学園
0375	0.065009	和歌山	智弁学園
0376	0.064500	長崎	長崎東
0377	0.064030	石川	小松大谷
0378	0.063555	和歌山	高野山
0379	0.062402	沖縄	八重山
0380	0.060065	愛媛	小松島
0381	0.059546	山口	徳山商工
0382	0.059457	長野	ウェルネス筑北
0383	0.059412	福井	美方
0384	0.058376	福島	磐城
0385	0.057919	長崎	長崎総大付
0386	0.056222	岩手	専大北上
0387	0.055568	島根	浜田
0388	0.055270	愛媛	小松
0389	0.054992	徳島	徳島北
0390	0.053727	東京	片倉
0391	0.053596	京都	立命館宇治
0392	0.052979	北海道	釧路江南
0393	0.052923	東京	日大鶴ヶ丘
0394	0.052231	三重	松坂商
0395	0.051861	静岡	掛川西
0396	0.051142	宮城	仙台南
0397	0.050377	青森	三沢商
0398	0.050252	山口	熊毛南
0399	0.050109	東京	東亜学園
0400	0.049985	北海道	帯広工
0401	0.049280	三重	菰野
0402	0.049221	和歌山	和歌山東
0403	0.048978	大分	臼杵
0404	0.048883	東京	東京都市大付
0405	0.048564	和歌山	海南
0406	0.048194	鳥取	鳥取商
0407	0.047307	鳥取	米子北
0408	0.047239	東京	武蔵丘
0409	0.046004	東京	小山台
0410	0.045728	茨城	土浦湖北
0411	0.045709	岡山	倉敷工
0412	0.044621	宮崎	高千穂
0413	0.044202	大分	鶴崎工
0414	0.043598	広島	広島国際学院
0415	0.043232	茨城	藤代
0416	0.043096	鹿児島	大島
0417	0.041939	東京	聖パウロ学園
0418	0.041195	東京	足立学園
0419	0.040988	東京	日本ウェルネス
0420	0.040173	東京	郁文館
0421	0.040001	北海道	北広島
0422	0.039339	島根	大社
